id_municipio,id_municipio_nome,id_estacao,estacao,data_fundacao,latitude,longitude,altitude
3205069,Venda Nova do Imigrante,A633,Venda Nova Do Imigrante,2017-02-10,-20.38555555,-41.18999999,722.0
3205200,Vila Velha,A634,Vila Velha,2017-02-15,-20.46694443,-40.40388888,25.0
3200102,Afonso Cláudio,A657,Afonso Claudio,2011-09-24,-20.10416666,-41.10694444,507.48
3105608,Barbacena,A502,Barbacena,2002-12-05,-21.22833332,-43.76777777,1168.76
3104007,Araxá,A505,Araxa,2002-12-19,-19.605696,-46.949617,1018.32
3143302,Montes Claros,A506,Montes Claros,2002-12-19,-16.68638888,-43.84388888,645.87
3170206,Uberlândia,A507,Uberlandia,2002-12-18,-18.91694443,-48.25555555,874.77
3101706,Almenara,A508,Almenara,2002-12-15,-16.166773,-40.687756,189.11
3110509,Camanducaia,A509,Monte Verde,2004-12-19,-22.86166666,-46.04333333,1544.89
3171303,Viçosa,A510,Vicosa,2005-09-15,-20.762607,-42.864013,697.64
3168705,Timóteo,A511,Timoteo,2006-02-22,-19.57388888,-42.62249999,493.42
3134202,Ituiutaba,A512,Ituiutaba,2006-05-12,-18.95277777,-49.52499999,540.08
3145901,Ouro Branco,A513,Ouro Branco,2006-07-28,-20.55666666,-43.75611111,1048.2
3162500,São João del Rei,A514,Sao Joao Del Rei,2006-06-09,-21.106502,-44.250928,929.88
3170701,Varginha,A515,Varginha,2006-07-13,-21.56638888,-45.40416666,949.78
3147907,Passos,A516,Passos,2006-07-16,-20.745237,-46.633916,781.7
3143906,Muriaé,A517,Muriae,2006-08-30,-21.104867,-42.375904,282.79
3136702,Juiz de Fora,A518,Juiz De Fora,2007-05-26,-21.769965,-43.364329,936.88
3111101,Campina Verde,A519,Campina Verde,2006-07-15,-19.53921,-49.518133,559.07
3117306,Conceição das Alagoas,A520,Conceicao Das Alagoas,2006-07-18,-19.98586,-48.151574,572.54
3106200,Belo Horizonte,A521,Pampulha,2006-10-10,-19.883945,-43.969397,854.02
3166709,Serra dos Aimorés,A522,Serra Dos Aimores,2006-08-21,-17.79888888,-40.25,211.97
3148103,Patrocínio,A523,Patrocinio,2006-08-22,-18.996684,-46.985935,978.11
3126109,Formiga,A524,Formiga,2006-08-17,-20.455,-45.45388888,878.14
3156908,Sacramento,A525,Sacramento,2006-08-19,-19.87527777,-47.43416666,913.12
3142700,Montalvânia,A526,Montalvania,2007-06-26,-14.40833333,-44.40416666,519.52
3168606,Teófilo Otoni,A527,Teofilo Otoni,2006-08-25,-17.89284,-41.515423,467.17
3161700,São Gonçalo do Abaeté,A528,Tres Marias,2006-08-25,-18.200855,-45.459836,931.01
3147600,Passa Quatro,A529,Passa Quatro,2007-05-30,-22.395799,-44.961909,1017.1
3110301,Caldas,A530,Caldas,2006-11-28,-21.918066,-46.382996,1077.34
3139904,Maria da Fé,A531,Maria Da Fe,2006-12-01,-22.314567,-45.373049,1281.43
3127701,Governador Valadares,A532,Governador Valadares,2007-05-27,-18.830354,-41.977007,198.24
3128006,Guanhães,A533,Guanhaes,2007-06-02,-18.78694444,-42.94305555,852.68
3101102,Aimorés,A534,Aimores,2007-08-05,-19.53277777,-41.09083333,287.74
3126000,Florestal,A535,Florestal,2008-06-27,-19.885398,-44.416883,753.5
3123205,Dores do Indaiá,A536,Dores Do Indaia,2007-06-01,-19.481935,-45.593932,721.09
3121605,Diamantina,A537,Diamantina,2007-06-05,-18.231052,-43.648269,1359.25
3120904,Curvelo,A538,Curvelo,2006-12-18,-18.747711,-44.453785,669.48
3135050,Jaíba,A539,Mocambinho,2007-11-11,-15.085958,-44.016036,454.0
